case_id,arm_id,p_wallplug_heat_MW,R,a,I_coil_A,n_e0,T_i0_keV,eta_source_heat,tau_ratio_ash,is_baseline_point,beta_ok_record,beta_ok_forced,cond_strain_ok_record,cond_strain_ok_forced,net_positive_record,net_positive_forced,peak_field_ok_record,peak_field_ok_forced,recirc_ok_record,recirc_ok_forced,sustainment_ok_record,sustainment_ok_forced,wall_load_ok_record,wall_load_ok_forced,wp_stress_ok_record,wp_stress_ok_forced,p_aux_required_forced,W_th_forced,tau_E_forced,lcoe_forced,wall_load_peak_forced,beta_forced,p_fus_forced,p_aux_required_record,lcoe_record,feasible_record,feasible_forced,ignited_record,ignited_forced,feasible_driven_record,feasible_driven_forced,error
20260904-wall-and-heating:c0042,arm-fence-p100,100.0,11.2,1.3,15000000.0,4.048e+20,14.63,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,satisfied,26.54821379632824,353.6004406913658,2.149746827038901,652.3522682855066,2.4485455626744055,0.017481230237689646,1439.5648452468943,55.4363602859616,590.2191252843887,False,False,False,False,False,False,
20260904-wall-and-heating:c0043,arm-fence-p100,100.0,11.2,1.3,15000000.0,4.554e+20,14.63,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,violated,satisfied,satisfied,satisfied,satisfied,satisfied,23.654654263260966,396.0750722591564,2.1191359689473526,481.0427998019982,2.968843895971307,0.019581082863002613,1745.4620280776187,54.287942058963324,441.852885062802,False,False,False,False,False,False,
20260904-wall-and-heating:c0044,arm-fence-p100,100.0,11.2,1.3,15000000.0,5.06e+20,14.63,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,violated,satisfied,satisfied,satisfied,satisfied,satisfied,21.09669269740334,438.32377951301174,2.0925094558737176,383.4742956116549,3.5208527723984147,0.021669766285753306,2070.0026798352883,53.037076338295435,357.16819736266905,False,False,False,False,False,False,
20260904-wall-and-heating:c0045,arm-fence-p100,100.0,11.2,1.3,15000000.0,3.036e+20,16.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,satisfied,28.155983569149868,292.70002187684776,1.939958618595362,1252.4485659026004,1.8339414250346409,0.014470447104086175,1078.2227800728597,58.597990574847955,1085.6863539578242,False,False,False,False,False,False,
20260904-wall-and-heating:c0046,arm-fence-p100,100.0,11.2,1.3,15000000.0,3.542e+20,16.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,satisfied,20.42421316590776,339.6867661242721,1.9026530639350303,690.5292675153623,2.3736633904880073,0.016793368683885902,1395.539631153054,54.335531666321344,625.3197490596721,False,False,False,False,False,False,
20260904-wall-and-heating:c0047,arm-fence-p100,100.0,11.2,1.3,15000000.0,4.048e+20,16.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,11.397752799717296,386.36025618498917,1.871548994806729,483.27727782512704,2.959301895133975,0.01910080366375366,1739.8520328346726,48.21457498103848,445.2547841337372,False,False,False,False,False,False,
20260904-wall-and-heating:c0048,arm-fence-p100,100.0,11.2,1.3,15000000.0,4.554e+20,16.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.5444378343393055,432.7568778007276,1.8449870434029652,376.75094507000705,3.5864909341077436,0.021394550874955866,2108.593095118463,40.72022112593771,350.49386733467503,False,False,False,False,False,False,
20260904-wall-and-heating:c0049,arm-fence-p100,100.0,11.2,1.3,15000000.0,5.06e+20,16.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,-8.74428029981732,478.9062288083431,1.8218774307691687,312.59128991490155,4.251596958446894,0.023676073569629873,2499.6265582469923,32.26417469375781,292.72675801102724,False,False,False,True,False,False,
20260904-wall-and-heating:c0050,arm-fence-p100,100.0,11.2,1.3,15000000.0,3.036e+20,17.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,satisfied,27.509422580561534,310.91325134821676,1.765172717594,904.9516054033497,2.0781149172961593,0.015370869222164867,1221.778849014015,63.377258093871916,811.8649607947508,False,False,False,False,False,False,
20260904-wall-and-heating:c0051,arm-fence-p100,100.0,11.2,1.3,15000000.0,3.542e+20,17.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,violated,violated,satisfied,satisfied,satisfied,satisfied,satisfied,16.224845419844712,360.818774701595,1.7312655801281724,556.4755369666059,2.689206743608078,0.017838088839219217,1581.0559332498935,56.275376684066885,512.961850318173,False,False,False,False,False,False,
20260904-wall-and-heating:c0052,arm-fence-p100,100.0,11.2,1.3,15000000.0,4.048e+20,17.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,2.953427081590519,410.391212315223,1.7029933154743309,407.91533073345744,3.352161422409611,0.020288841427855624,1970.8245633064378,46.550646664644546,380.82702210473815,False,False,False,False,False,False,
20260904-wall-and-heating:c0053,arm-fence-p100,100.0,11.2,1.3,15000000.0,4.554e+20,17.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,-11.775936993164862,459.6693414356157,1.6788480626844362,326.6630803322401,4.062035943669065,0.02272504405009182,2388.1786125508415,34.751392936366244,307.39685045601453,False,False,False,True,False,False,
