case_id,arm_id,p_wallplug_heat_MW,R,a,I_coil_A,n_e0,T_i0_keV,eta_source_heat,tau_ratio_ash,is_baseline_point,beta_ok_record,beta_ok_forced,cond_strain_ok_record,cond_strain_ok_forced,net_positive_record,net_positive_forced,peak_field_ok_record,peak_field_ok_forced,recirc_ok_record,recirc_ok_forced,sustainment_ok_record,sustainment_ok_forced,wall_load_ok_record,wall_load_ok_forced,wp_stress_ok_record,wp_stress_ok_forced,p_aux_required_forced,W_th_forced,tau_E_forced,lcoe_forced,wall_load_peak_forced,beta_forced,p_fus_forced,p_aux_required_record,lcoe_record,feasible_record,feasible_forced,ignited_record,ignited_forced,feasible_driven_record,feasible_driven_forced,error
20260904-wall-and-heating:c0042,arm-fence-p100,100.0,11.2,1.3,15000000.0,4.048e+20,14.63,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,satisfied,34.09393931752675,363.8308179877708,2.05595341755265,632.0044590825703,2.4926719085717726,0.017513290305962718,1465.5078937534831,55.4363602859616,590.2191252843887,False,False,False,False,False,False,
20260904-wall-and-heating:c0043,arm-fence-p100,100.0,11.2,1.3,15000000.0,4.554e+20,14.63,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,violated,satisfied,satisfied,satisfied,satisfied,satisfied,31.571527140021146,407.559974228188,2.026478632122582,468.34177767012324,3.025153556177537,0.019618228563554108,1778.5679700361368,54.287942058963324,441.852885062802,False,False,False,False,False,False,
20260904-wall-and-heating:c0044,arm-fence-p100,100.0,11.2,1.3,15000000.0,5.06e+20,14.63,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,violated,satisfied,satisfied,satisfied,satisfied,satisfied,29.255205385380464,451.0575822271658,2.0008510306099305,376.22943390886,3.5906231857118125,0.02171202105951213,2111.0225553791233,53.037076338295435,357.16819736266905,False,False,False,False,False,False,
20260904-wall-and-heating:c0045,arm-fence-p100,100.0,11.2,1.3,15000000.0,3.036e+20,16.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,satisfied,36.26953003574894,301.12258380531466,1.8557600691565515,1196.1264335069725,1.8631915506728103,0.014494778801396982,1095.4197043325707,58.597990574847955,1085.6863539578242,False,False,False,False,False,False,
20260904-wall-and-heating:c0046,arm-fence-p100,100.0,11.2,1.3,15000000.0,3.542e+20,16.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,satisfied,29.385824747519507,349.4932292700668,1.8198143260198554,669.1577760452474,2.414390505796218,0.016823138891936307,1419.4841818854404,54.335531666321344,625.3197490596721,False,False,False,False,False,False,
20260904-wall-and-heating:c0047,arm-fence-p100,100.0,11.2,1.3,15000000.0,4.048e+20,16.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,21.038887069676036,397.5438848570641,1.7898550168005047,470.9650181786501,3.0132258083124484,0.019136096011240028,1771.5553308713602,48.21457498103848,445.2547841337372,False,False,False,False,False,False,
20260904-wall-and-heating:c0048,arm-fence-p100,100.0,11.2,1.3,15000000.0,4.554e+20,16.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,11.702749653016326,445.3111625321737,1.7642811256080566,368.3046485577028,3.6552386301772857,0.021435412505858266,2149.0116880832334,40.72022112593771,350.49386733467503,False,False,False,False,False,False,
20260904-wall-and-heating:c0049,arm-fence-p100,100.0,11.2,1.3,15000000.0,5.06e+20,16.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,1.775684590609444,492.8249238273401,1.7420407653323424,306.2286127286081,4.336707037599739,0.023722525784751633,2549.665029979899,32.26417469375781,292.72675801102724,False,False,False,False,False,False,
20260904-wall-and-heating:c0050,arm-fence-p100,100.0,11.2,1.3,15000000.0,3.036e+20,17.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,satisfied,37.0815732425221,319.8614056543445,1.688547888070556,872.9140747203986,2.111384576999532,0.015396787127268946,1241.3389639052366,63.377258093871916,811.8649607947508,False,False,False,False,False,False,
20260904-wall-and-heating:c0051,arm-fence-p100,100.0,11.2,1.3,15000000.0,3.542e+20,17.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,violated,violated,satisfied,satisfied,satisfied,satisfied,satisfied,26.82718569326954,371.23695710213286,1.6558772467877814,541.5741038283795,2.7355132023743414,0.017869790794496177,1608.2807279051244,56.275376684066885,512.961850318173,False,False,False,False,False,False,
20260904-wall-and-heating:c0052,arm-fence-p100,100.0,11.2,1.3,15000000.0,4.048e+20,17.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,14.395793283009596,422.27222197912295,1.628646143885037,398.60038502579266,3.4134524052773014,0.020326414492773635,2006.8591569084392,46.550646664644546,380.82702210473815,False,False,False,False,False,False,
20260904-wall-and-heating:c0053,arm-fence-p100,100.0,11.2,1.3,15000000.0,4.554e+20,17.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,0.3232842264645228,473.0062249859994,1.6053997054873803,319.9865372185613,4.14015315388797,0.022768536707590735,2434.105791262218,34.751392936366244,307.39685045601453,False,False,False,False,False,False,
