R,a,lcoe,wall_load,p_fus,plasma_volume,total_capital,magnet_capital,overnight_capital,lcoe_1cfe,beta_ok,net_positive,recirc_ok,tbr_ok,wall_load_ok,feasible
5.0,1.05,579.4385873628158,2.486781984289937,705.8036403901548,109.15587658885738,5696955225.2400875,2282092172.2334805,5696955225.2400875,567.789406381485,satisfied,satisfied,satisfied,satisfied,satisfied,True
5.0,1.1,511.34120251792166,2.615538269946672,774.6234964826189,119.79919335375732,5866241772.546551,2323584757.1831803,5866241772.546551,501.1064519653606,satisfied,satisfied,satisfied,satisfied,satisfied,True
5.0,1.15,458.2137223901061,2.7443697417556154,846.6442761142672,130.93754810772234,6039016975.014082,2365077342.1328797,6039016975.014082,449.0804052667745,satisfied,satisfied,satisfied,satisfied,satisfied,True
5.0,1.2,416.9432981946413,2.873267724391513,921.8659792851,142.5709408507525,6215299066.690952,2406569927.0825796,6215299066.690952,408.69098752451475,satisfied,satisfied,satisfied,satisfied,satisfied,True
5.0,1.25,382.1345773590994,3.002224827762479,1000.2886059951172,154.69937158284776,6395101601.424422,2448062512.032279,6395101601.424422,374.60226788183775,satisfied,satisfied,satisfied,satisfied,satisfied,True
5.0,1.3,353.1440007784227,3.1312347175040456,1081.9121562443192,167.32284030400817,6578435062.007493,2489555096.9819784,6578435062.007493,346.210570961075,satisfied,satisfied,satisfied,satisfied,satisfied,True
5.0,1.35,328.64351446945335,3.260291932957181,1166.736630032705,180.44134701423366,6765307852.23194,2531047681.931679,6765307852.23194,322.2156027348061,satisfied,satisfied,satisfied,satisfied,satisfied,True
5.0,1.4,307.6794904153835,3.3893917415507295,1254.7620273602752,194.05489171352423,6955726931.944035,2572540266.8813777,6955726931.944035,301.6836482113149,satisfied,satisfied,satisfied,satisfied,satisfied,True
5.0,1.45,289.54954418331187,3.518530021367877,1345.9883482270297,208.16347440187994,7149698236.265326,2614032851.8310776,7149698236.265326,283.92697526697935,satisfied,satisfied,satisfied,satisfied,satisfied,True
5.0,1.5,274.7605833360409,3.6477031657314125,1440.4155926329688,222.76709507930076,7347226959.50231,2655525436.7807775,7347226959.50231,269.46351007427756,satisfied,satisfied,satisfied,satisfied,satisfied,True
5.0,1.55,260.87619082401204,3.776908005137118,1538.0437605780924,237.86575374578672,7548317751.611794,2697018021.730477,7548317751.611794,255.8652791477754,satisfied,satisfied,satisfied,satisfied,satisfied,True
5.0,1.6,248.5749870742991,3.906141742963625,1638.8728520624002,253.4594504013378,7752974856.679696,2738510606.6801763,7752974856.679696,243.8174805780253,satisfied,satisfied,satisfied,satisfied,satisfied,True
5.0,1.65,237.60680420033785,4.035401902203437,1742.902867085892,269.5481850459539,7961202212.087003,2780003191.629876,7961202212.087003,233.0751454466383,satisfied,satisfied,satisfied,satisfied,satisfied,True
5.0,1.7,227.7711845663933,4.164686281072112,1850.1338056485688,286.1319576796352,8173003520.506183,2821495776.579576,8173003520.506183,223.44197865308539,satisfied,satisfied,satisfied,satisfied,violated,False
5.0,1.75,219.78783906473618,4.2939929158159575,1960.5656677504298,303.2107683023816,8388382302.802749,2862988361.5292754,8388382302.802749,215.64106242431984,satisfied,satisfied,satisfied,satisfied,violated,False
5.0,1.8,211.79501596801495,4.423320049392197,2074.198453391475,320.7846169141931,8607341937.317245,2904480946.478975,8607341937.317245,207.81340400043644,satisfied,satisfied,satisfied,satisfied,violated,False
5.0,1.85,204.52882276294642,4.55266610496757,2191.0321625717047,338.85350351506975,8829885689.305105,2945973531.428674,8829885689.305105,200.69738996096504,satisfied,satisfied,satisfied,satisfied,violated,False
5.0,1.9,197.89752672268673,4.682029663392142,2311.0667952911185,357.4174281050114,9056016733.181194,2987466116.3783736,9056016733.181194,194.20318637047652,satisfied,satisfied,satisfied,satisfied,violated,False
5.0,1.95,191.8240550540712,4.81140944396963,2434.3023515497175,376.47639068401827,9285738169.449215,3028958701.328073,9285738169.449215,188.25531473620586,satisfied,satisfied,satisfied,satisfied,violated,False
5.0,2.0,186.24319067418887,4.9408042879748235,2560.7388313475003,396.0303912520903,9519053037.668512,3070451286.2777734,9519053037.668512,182.7899061900575,satisfied,satisfied,satisfied,satisfied,violated,False
