case_id,arm_id,I_coil_A,n_e0,j_wp,p_input_MW,T_i0_keV,is_baseline_point,R,a,availability,discount_rate,lcoe,lcoe_1cfe,p_fus,wall_load,beta,B_axis,B_peak,sigma_wp,eps_cond,wp_side,c_coil,vol_cold,p_cryo,total_capital,magnet_capital,heating_capital,overnight_capital,cas72,fuel,beta_ok,cond_strain_ok,net_positive,peak_field_ok,recirc_ok,sustainment_ok,tbr_ok,wall_load_ok,wp_stress_ok,feasible
20260903-priced-levers:c0036,arm-fence-p50,15000000.0,5.06e+20,130.0,50.0,17.0,False,12.7,1.3,0.85,0.07,224.58551667417242,220.39806913781896,3819.558567959709,4.352142233387366,0.03291350135682031,8.766233766233764,24.253246753246746,653556262.4559524,0.0021785208748531745,0.3396831102433787,25.0,121.5811965811966,0.8271292735042736,15764546273.940483,5262159272.727273,264145000.0,15764546273.940483,178467503.17752606,746643.5645755173,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
20260903-priced-levers:c0040,arm-fence-p50,15000000.0,5.06e+20,130.0,50.0,18.0,False,12.7,1.3,0.85,0.07,205.22163885212544,201.44670168760823,4284.532419769373,4.881950142305647,0.03484883985323279,8.766233766233764,24.253246753246746,653556262.4559524,0.0021785208748531745,0.3396831102433787,25.0,121.5811965811966,0.8271292735042736,16357181394.562645,5262159272.727273,264145000.0,16357181394.562645,209392674.79737902,837536.1973163274,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
20260903-priced-levers:c0044,arm-fence-p50,15000000.0,5.06e+20,130.0,50.0,19.0,False,12.7,1.3,0.85,0.07,191.06997129775522,187.6228427116119,4763.86749077273,5.428121740237654,0.03679139342188612,8.766233766233764,24.253246753246746,653556262.4559524,0.0021785208748531745,0.3396831102433787,25.0,121.5811965811966,0.8271292735042736,16956566435.048084,5262159272.727273,264145000.0,16956566435.048084,255545084.89314675,931236.1471069074,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
20260903-priced-levers:c0033,arm-fence-p50,15000000.0,5.5660000000000007e+20,130.0,50.0,14.63,False,12.7,1.3,0.85,0.07,255.31509666245788,250.44936510522456,3269.5217830209103,3.725410562945286,0.031091204524620192,8.766233766233764,24.253246753246746,653556262.4559524,0.0021785208748531745,0.3396831102433787,25.0,121.5811965811966,0.8271292735042736,15046537116.582829,5262159272.727273,264145000.0,15046537116.582829,134663364.1143556,639122.9130532825,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,satisfied,satisfied,False
20260903-priced-levers:c0037,arm-fence-p50,15000000.0,5.5660000000000007e+20,130.0,50.0,17.0,False,12.7,1.3,0.85,0.07,199.66020944250826,196.02875399282226,4479.924799483019,5.104587238374072,0.03608687474263594,8.766233766233764,24.253246753246746,653556262.4559524,0.0021785208748531745,0.3396831102433787,25.0,121.5811965811966,0.8271292735042736,16602827357.029566,5262159272.727273,264145000.0,16602827357.029566,234753009.43567702,875731.3081608296,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
20260903-priced-levers:c0041,arm-fence-p50,15000000.0,5.5660000000000007e+20,130.0,50.0,18.0,False,12.7,1.3,0.85,0.07,185.19673878549042,181.89829518147408,5025.241786627869,5.725941001671489,0.038208783187236695,8.766233766233764,24.253246753246746,653556262.4559524,0.0021785208748531745,0.3396831102433787,25.0,121.5811965811966,0.8271292735042736,17279047137.353363,5262159272.727273,264145000.0,17279047137.353363,287414436.9917773,982329.3382370915,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
20260903-priced-levers:c0045,arm-fence-p50,15000000.0,5.5660000000000007e+20,130.0,50.0,19.0,False,12.7,1.3,0.85,0.07,173.8222207458637,170.79099010463872,5587.869763487051,6.367019528471544,0.040338860426244565,8.766233766233764,24.253246753246746,653556262.4559524,0.0021785208748531745,0.3396831102433787,25.0,121.5811965811966,0.8271292735042736,17963993157.029827,5262159272.727273,264145000.0,17963993157.029827,345383096.22359717,1092311.3036128567,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
20260903-priced-levers:c0034,arm-fence-p50,15000000.0,6.072e+20,130.0,50.0,14.63,False,12.7,1.3,0.85,0.07,226.54657654377633,222.31729981114972,3778.981986158591,4.305907818545687,0.033814804336345115,8.766233766233764,24.253246753246746,653556262.4559524,0.0021785208748531745,0.3396831102433787,25.0,121.5811965811966,0.8271292735042736,15712245212.752424,5262159272.727273,264145000.0,15712245212.752424,175768475.1682255,738711.6941420026,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
20260903-priced-levers:c0038,arm-fence-p50,15000000.0,6.072e+20,130.0,50.0,17.0,False,12.7,1.3,0.85,0.07,181.59941995533867,178.37886822536106,5175.725895006221,5.897408000245859,0.03924684172405298,8.766233766233764,24.253246753246746,653556262.4559524,0.0021785208748531745,0.3396831102433787,25.0,121.5811965811966,0.8271292735042736,17463434605.431503,5262159272.727273,264145000.0,17463434605.431503,299384104.15960425,1011745.8242242663,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
20260903-priced-levers:c0042,arm-fence-p50,15000000.0,6.072e+20,130.0,50.0,18.0,False,12.7,1.3,0.85,0.07,169.79684606431974,166.85362658178934,5805.689442237195,6.615211094665475,0.04155453054330176,8.766233766233764,24.253246753246746,653556262.4559524,0.0021785208748531745,0.3396831102433787,25.0,121.5811965811966,0.8271292735042736,18226083941.633907,5262159272.727273,264145000.0,18226083941.633907,364008787.48382944,1134890.480887673,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,False
20260903-priced-levers:c0046,arm-fence-p50,15000000.0,6.072e+20,130.0,50.0,19.0,False,12.7,1.3,0.85,0.07,160.49232205926722,157.77330847480513,6456.149758403356,7.356368943867254,0.04387135118764122,8.766233766233764,24.253246753246746,653556262.4559524,0.0021785208748531745,0.3396831102433787,25.0,121.5811965811966,0.8271292735042736,18999628378.45684,5262159272.727273,264145000.0,18999628378.45684,435078962.3896402,1262041.8258496765,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
20260903-priced-levers:c0035,arm-fence-p50,15000000.0,7.084e+20,130.0,50.0,14.63,False,12.7,1.3,0.85,0.07,188.1441415676542,184.75972223910097,4870.234559081148,5.549320198643267,0.03923086838278477,8.766233766233764,24.253246753246746,653556262.4559524,0.0021785208748531745,0.3396831102433787,25.0,121.5811965811966,0.8271292735042736,17088150777.455097,5262159272.727273,264145000.0,17088150777.455097,263326232.24823815,952028.6773488689,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
20260903-priced-levers:c0039,arm-fence-p50,15000000.0,7.084e+20,130.0,50.0,17.0,False,12.7,1.3,0.85,0.07,157.68580543742718,155.0287370593912,6665.099656921555,7.594453963856573,0.045530503026166395,8.766233766233764,24.253246753246746,653556262.4559524,0.0021785208748531745,0.3396831102433787,25.0,121.5811965811966,0.8271292735042736,19245445329.758068,5262159272.727273,264145000.0,19245445329.758068,454123172.0525337,1302887.1471797426,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,False
20260903-priced-levers:c0043,arm-fence-p50,15000000.0,7.084e+20,130.0,50.0,18.0,False,12.7,1.3,0.85,0.07,150.17922892664254,147.72754325363329,7476.228400398643,8.518683190451927,0.048207617101601485,8.766233766233764,24.253246753246746,653556262.4559524,0.0021785208748531745,0.3396831102433787,25.0,121.5811965811966,0.8271292735042736,20188745643.37719,5262159272.727273,264145000.0,20188745643.37719,562208364.3243735,1461445.7988102366,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,False
20260903-priced-levers:c0047,arm-fence-p50,15000000.0,7.084e+20,130.0,50.0,19.0,False,12.7,1.3,0.85,0.07,143.59160488080647,141.30778045855732,8314.89574422713,9.47429088749229,0.050895806601968734,8.766233766233764,24.253246753246746,653556262.4559524,0.0021785208748531745,0.3396831102433787,25.0,121.5811965811966,0.8271292735042736,21147821432.184296,5262159272.727273,264145000.0,21147821432.184296,665242526.9643248,1625387.6690415055,violated,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,False
20260903-priced-levers:c0048,arm-fence-p50,15400000.0,5.06e+20,90.0,50.0,14.63,False,12.7,1.3,0.85,0.07,307.1692994344392,301.17559260919194,2725.3631229489465,3.105376639122585,0.026839612876848863,8.999999999999998,24.899999999999995,565687720.7458168,0.0018856257358193893,0.41365578819969523,25.0,180.30041152263377,0.9730465226337449,14544875655.75356,5401032000.0,264145000.0,14544875655.75356,95898253.47855279,532751.311617728,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,satisfied,satisfied,False
