frequency_hz,eta,gain,eta_g,lcoe_per_mwh,f_recirc,p_net_mw,power_positive,viable,attractive
1.0,0.05,100.0,5.0,1084.2852597105204,0.41666666666666663,2.0000000000000018,True,False,False
1.0,0.05,105.0,5.25,841.0043143151778,0.3968253968253968,2.6,True,False,False
1.0,0.05,110.0,5.5,688.9537234430879,0.3787878787878788,3.2000000000000006,True,False,False
1.0,0.05,115.0,5.75,584.9191086358691,0.3623188405797102,3.799999999999999,True,False,False
1.0,0.05,120.0,6.0,509.25757059425496,0.3472222222222222,4.3999999999999995,True,False,False
1.0,0.05,125.0,6.25,451.7548016826282,0.3333333333333333,5.0,True,False,False
1.0,0.05,130.0,6.5,406.5740546806358,0.3205128205128205,5.6000000000000005,True,False,False
1.0,0.05,135.0,6.75,370.13796838870644,0.30864197530864196,6.200000000000001,True,False,False
1.0,0.05,140.0,7.0,340.1317796777058,0.2976190476190476,6.800000000000002,True,False,False
1.0,0.05,145.0,7.25,314.99145940632707,0.28735632183908044,7.4,True,False,False
1.0,0.05,150.0,7.5,293.622187175655,0.2777777777777778,8.0,True,False,False
1.0,0.05,155.0,7.75,275.23467386089067,0.2688172043010753,8.599999999999998,True,False,False
1.0,0.05,160.0,8.0,259.24553184805205,0.2604166666666667,9.2,True,False,False
1.0,0.05,165.0,8.25,245.2142439592345,0.2525252525252525,9.800000000000002,True,False,False
1.0,0.05,170.0,8.5,232.80195082681908,0.24509803921568626,10.4,True,False,False
1.0,0.05,175.0,8.75,221.74372603612164,0.23809523809523808,11.0,True,False,False
1.0,0.05,180.0,9.0,211.8294555341171,0.2314814814814815,11.599999999999996,True,False,False
1.0,0.05,185.0,9.25,202.89035917985058,0.2252252252252252,12.200000000000001,True,False,False
1.0,0.05,190.0,9.5,194.78930310879664,0.21929824561403508,12.800000000000002,True,False,False
1.0,0.05,195.0,9.75,187.41371474559833,0.2136752136752137,13.399999999999999,True,False,False
1.0,0.05,200.0,10.0,180.670319670674,0.20833333333333331,14.000000000000004,True,False,False
1.0,0.05,205.0,10.25,174.48117624574357,0.2032520325203252,14.6,True,True,False
1.0,0.05,210.0,10.5,168.78064940699187,0.1984126984126984,15.2,True,True,False
1.0,0.05,215.0,10.75,163.5130739737149,0.19379844961240308,15.8,True,True,False
1.0,0.05,220.0,11.0,158.63093088921437,0.1893939393939394,16.400000000000002,True,True,False
1.0,0.05,225.0,11.25,154.09340966950208,0.18518518518518517,17.0,True,True,False
1.0,0.05,230.0,11.5,149.86526489658837,0.1811594202898551,17.599999999999998,True,True,False
1.0,0.05,235.0,11.75,145.91589889991064,0.17730496453900707,18.200000000000003,True,True,False
1.0,0.05,240.0,12.0,142.21862009451036,0.1736111111111111,18.8,True,True,False
1.0,0.05,245.0,12.25,138.750038947176,0.17006802721088435,19.4,True,True,False
1.0,0.05,250.0,12.5,135.48957266868166,0.16666666666666666,20.0,True,True,False
1.0,0.05,255.0,12.75,132.41903646466278,0.16339869281045752,20.6,True,True,False
1.0,0.05,260.0,13.0,129.52230419672046,0.16025641025641024,21.2,True,True,False
1.0,0.05,265.0,13.25,126.78502508114188,0.15723270440251574,21.799999999999997,True,True,False
1.0,0.05,270.0,13.5,124.1943859181836,0.15432098765432098,22.400000000000002,True,True,False
1.0,0.05,275.0,13.75,121.73891053764052,0.1515151515151515,23.000000000000004,True,True,False
1.0,0.05,280.0,14.0,119.40828983746404,0.1488095238095238,23.600000000000005,True,True,False
1.0,0.05,285.0,14.25,117.19323710589138,0.14619883040935672,24.2,True,True,False
1.0,0.05,290.0,14.5,115.08536434520127,0.14367816091954022,24.8,True,True,False
1.0,0.05,295.0,14.75,113.07707612438627,0.14124293785310735,25.4,True,True,False
1.0,0.05,300.0,15.0,111.16147812914734,0.1388888888888889,26.0,True,True,False
1.0,0.06,10.0,0.6,nan,3.4722222222222223,-8.56,False,False,False
1.0,0.06,15.0,0.9,nan,2.3148148148148153,-7.84,False,False,False
1.0,0.06,20.0,1.2,nan,1.7361111111111112,-7.12,False,False,False
1.0,0.06,25.0,1.5,nan,1.3888888888888888,-6.4,False,False,False
1.0,0.06,30.0,1.8,nan,1.1574074074074077,-5.680000000000001,False,False,False
1.0,0.06,35.0,2.1,nan,0.9920634920634921,-4.96,False,False,False
1.0,0.06,40.0,2.4,nan,0.8680555555555556,-4.24,False,False,False
1.0,0.06,45.0,2.7,nan,0.7716049382716049,-3.520000000000001,False,False,False
1.0,0.06,50.0,3.0,nan,0.6944444444444444,-2.8000000000000003,False,False,False
1.0,0.06,55.0,3.3,nan,0.6313131313131314,-2.0800000000000005,False,False,False
