case_id,arm_id,I_coil_A,n_e0,T_i0_keV,p_input_MW,source,p_net_MW,rec_frac,q_eng,p_aux_required_MW,p_input_installed_MW,tau_E_s,p_rad_MW,n_He0,n_D0,W_th_MJ,beta_limit,wall_load_limit,B_max_T,sigma_allow_Pa,recirc_threshold
20260901-sustainment-fence:c0035,arm-grid-I-ne,11000000.0,7.084e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,2061.367821584786,0.16205689898624873,6.170672191406394,458.8795695729991,50.0,0.6440655728797511,426.93457924923587,5.8812828733109486e+19,2.953871712668905e+20,785.1399941061032,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0036,arm-grid-I-ne,12000000.0,3.036e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,210.9011862686966,0.6181647825008634,1.6176916387154479,221.72229103235708,50.0,0.8839684020580836,83.23508132080295,1.6848178864584874e+19,1.3495182113541513e+20,341.444227401894,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0037,arm-grid-I-ne,12000000.0,3.542e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,369.11704271242826,0.4840732988442838,2.065802849253371,242.88893914236553,50.0,0.8641748703152194,111.49257445434986,2.1809673531123335e+19,1.5529032646887666e+20,397.0746536958876,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0038,arm-grid-I-ne,12000000.0,4.048e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,545.2526013188414,0.3921563974761358,2.5500030254150166,260.23822510791877,50.0,0.8476876318341622,144.00374027158307,2.7223610029242413e+19,1.7517638997075758e+20,452.4367945308564,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0039,arm-grid-I-ne,12000000.0,4.554e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,738.23396728661,0.32641512497360137,3.0635835275123187,274.15783533179695,50.0,0.8336399320282363,180.77509843868722,3.305423727933388e+19,1.9464576272066612e+20,507.5518493055603,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0040,arm-grid-I-ne,12000000.0,5.06e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,947.1074921799828,0.27774009156959534,3.6004884795302328,285.01243200786985,50.0,0.8214574762012825,221.81132597866352,3.9270917868741435e+19,2.1372908213125857e+20,562.4379851560685,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0041,arm-grid-I-ne,12000000.0,5.566e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1171.0199477596593,0.24065694799182813,4.155292454028614,293.1421009552852,50.0,0.8107416546105717,267.11590745225095,4.584704528396513e+19,2.3245295471603486e+20,617.1109790070357,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0042,arm-grid-I-ne,12000000.0,6.072e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1409.2030426603799,0.21172213034799917,4.723171821275084,298.862804408065,50.0,0.8012054231376591,316.69151811248696,5.275926460017611e+19,2.508407353998239e+20,671.5846796812074,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0043,arm-grid-I-ne,12000000.0,6.578e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1660.961113649322,0.18868384536625762,5.299870786812098,302.4676979344338,50.0,0.7926357970810974,370.54026263853683,5.99868909142539e+19,2.689131090857461e+20,725.8713527525007,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0044,arm-grid-I-ne,12000000.0,7.084e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1925.661174414977,0.170019927527764,5.881663488162007,304.2287792953655,50.0,0.7848707699218724,428.6638307118378,6.75114646307794e+19,2.8668853536922062e+20,779.9819442490788,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0045,arm-grid-I-ne,13000000.0,3.036e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,192.60073849505707,0.6389655651825972,1.5650295641741352,167.5596147184887,50.0,1.0576172084834539,84.63483074285371,1.9402123776695386e+19,1.3239787622330461e+20,339.9298088949314,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0046,arm-grid-I-ne,13000000.0,3.542e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,342.53886197821697,0.5021559840302887,1.9914130903589562,180.34918807695357,50.0,1.0345574932917547,112.9837467468968,2.5036053413792547e+19,1.5206394658620745e+20,395.1614998993289,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0047,arm-grid-I-ne,13000000.0,4.048e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,508.707685360737,0.4080338196095735,2.4507772442903097,189.92565454952756,50.0,1.015362926786606,145.5785688547643,3.1159632611101684e+19,1.7124036738889833e+20,450.1028422934668,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0048,arm-grid-I-ne,13000000.0,4.554e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,690.024590355829,0.3404954719919639,2.93689661759614,196.71951051408536,50.0,0.9990157161321203,182.42733481698878,3.77308881408372e+19,1.899691118591628e+20,504.77872503742157,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0049,arm-grid-I-ne,13000000.0,5.06e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,885.539440578137,0.29034156790350135,3.4442191905926554,201.12350545824177,50.0,0.9848424596849221,223.53581096778473,4.4714153081464545e+19,2.0828584691853545e+20,559.2102976265492,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0050,arm-grid-I-ne,13000000.0,5.566e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1094.4112375135014,0.25202764809675,3.9678186403426405,203.49533213090956,50.0,0.9723763971742881,268.9082936136987,5.207869870547831e+19,2.2622130129452168e+20,613.4157813440927,0.05,4.05,24.9,800000000.0,0.5
